,very good,,really good,
,"After an afternoon of experience, it feels good. Everyone said that there is a green edge. I didn't feel it. The battery life is also quite strong. I don't know what to use.",,Let's see if this is green?,
,"After using it for 2 days, I feel pretty good in all aspects, mainly because I chose Huawei with a system that I am used to Android. Of course, there will be a little patriotic feeling, but I am dissatisfied with 3 points. The green borders on both sides are indeed a bit visually appealing. It looks a little ugly, but it doesn't affect the use. 2. I read other people's comments that the battery life is good, but the actual battery life is still a bit poor. I need to charge it at least 2 times a day. I don't play games. The third point is that when the network is not good, the white screen of the machine will also appear, but it will not be stuck for a long time at most about 5 seconds. It's still very clear, but it still takes some time to focus. The design is very distinctive and beautiful, the screen is big enough and the colors are good, but the sound quality is still lacking a little noise. There will be a little sense of loss. It is the first time to use a Huawei mobile phone, and I hope that it will not be too stuck after a long time.",,"have been using it for a while to evaluate, please allow me to tell the truth. The sound quality is really unsatisfactory. The battery life is not up to expectations. I am disappointed. The important factor for the continuous improvement and improvement of domestic products is this. It was originally bought for patriotism.",
,"Logistics is one day faster than expected, excellent is over",,"The only regret, the screen...",
,"Commodity: Good or strong is not good. I didn't pay attention to the difference between the standard and the package, and I asked Wangwang that the whole robot didn't know what to do. The structure grabbed the standard version of the castrated version (without the standard configuration of the charger and charging cable). If I knew that there would be a lack of 66W super fast charging for less than 200 yuan, I would definitely not choose the standard configuration. I have been using Huawei all the time, from mate8 to now using mate10, I also bought mate30Pro for my wife, fake is also a loyal customer of Huawei, but this time I am also greatly disappointed. I have the charging head, mate10, mate30Pro can be used. But it's almost 7,000 yuan, and it also saves 66W fast charge. This kind of marketing is really bad and uncomfortable. If possible, I really want to add 200 to change the fast charging service: Huawei's running memory is still lower than others, but it is one or two thousand more expensive than Xiaomi 11, VIVO, and OPPO. I am used to Huawei, and I hope to support Huawei. However, this time I was really disappointed. But not disappointed with the phone",,"On the second day after the initial evaluation, there was a customer service call to respond, saying that it was an apology, and that a charger was needed, which could be purchased at an offline store, and it was only 199 yuan. I believed it and said it was all right, and later learned it was just a lie. I believed that I really went to the physical store and wanted to buy it. The clerk said that the charger was not sold in the store. Shouldn't be big. I also went to the Huawei mall to snap up a purchase. It¡¯s embarrassing. I¡¯ve already snatched it more than ten times. How small is the number of snapped purchases, and is it even released? Want to find your little Er, see if there is any way or channel to buy this 66W charger, Xiao Er said that the 40W charger is also enough, it is in stock, or you can buy the 476 yuan wireless charging package version, which is inside I don't accept the 66W charger, the rest is just sorry or sorry. I actually don't need to apologize, I bought 40PRo, and I have the right to have a 66W super charge. There is a performance of 66W super charging in the data promotion. If it is missing, it is to buy a defective Huawei mobile phone. Not to mention your mistakes and omissions in the panic buying page, and that I failed to fulfill the obligation to answer the consultation before the panic buying, but a robot customer service was responding. I think that I am a 40Pro consumer, and it is my right to have a set of 40Pro original chargers. I will not continue to waste my energy playing any more snap-buying games. If my voice fails to get a positive response, I will go to the industry and commerce department to file a complaint and appeal to the media, and I will no longer go through legal procedures. just for my right",
,"used Huawei p10p at the beginning, then went to p30p, and then I bought Xiaomi 11u first. After using it for less than a week, I returned it. I found that it was still Huawei fragrance. Still accidentally discovered that the flagship store is still in stock, place an order in seconds! The phone is quite thin, the camera is just a little protruding, and to be honest, the heat is not serious, I belong to a semi-heavy gamer, before the p30p screen was aged and turned green because of playing games, which is a regular heat. 11u I bought and charged halfway and reminded me that the temperature is too high. The camera glass is the same as teppanyaki.",,"finally got the Mate 40 Pro at the beginning. My family uses Huawei, and I have three Huawei. Now I still use it except for the P10, which was eliminated. Hongmeng was the first to support applying for the beat version every day. Positive feedback on various bugs, and now I have used the official version of my p30. My own Mate 40 Pro has not been updated. The official called me and said that it can only be flashed? ? Doesn't this make old customers feel cold, and have been so supportive to give me a flash? I already knew it wasn't supported. Really are",
,"Take good pictures. Good battery life. Quick charge. I don't like the curved screen. After thinking about it clearly, with the continuous return of the green edge screen, it is a high probability, and it is 100% winning. Looking at the face of the out-of-print 9000, I put up with it. Second-hand ones are not a few dollars cheaper, and there are a lot of them in the middle, so it is equally likely to buy a green edge screen. The new machine has a warranty after all.",,"All white highlights and green borders, because I think too much. Dripping water to the screen for macro shooting, it looks like a diamond screen",
,"Beautiful like it! There is a little green edge! Adjusted a bit better, does not affect the use! A total of two days before and after the order arrived. Kaisen!",,The Hongmeng system is very fast and smooth! Also good for taking pictures ??????,
,"This experience is good, the courier did not go to the wrong place and arrived the next day. The mobile phone runs silky smooth, the function is very Huawei, it is very popular, the camera is very good, the anti-shake seems to be average, it is really difficult to take a picture of a cat's face that is not blurred ?? The existence of the green border should not be the problem of the screen, but also the back. It is estimated that the screen will not have this problem, and the display effect is very clear. The power is sufficient and the charging is fast. Finally, the yellow color is very irritating ??",,"Camera stabilization is great, the most powerful camera I've ever used. The sound quality of the call is very good, the battery life is basically enough for a day, the function is very powerful, in short, it is very powerful??",
,"Beautiful like it! There is a little green edge! Adjusted a bit better, does not affect the use! A total of two days before and after the order arrived. Kaisen!",,The Hongmeng system is very fast and smooth! Also good for taking pictures ??????,
,"Very easy to use, logistics super fast...",,"Tmall's self-operated flagship store is different, awesome service...",
,"Cost of electricity... I checked that the capacity is larger than 20, but there is no 20 battery resistance.",,"Still this power! Don't play much, or use low battery mode... enough to last a day! Recently, I also found that there is noise in the speakers. I want to know if it is my individual phenomenon or a common problem... After using it for a month, I feel that it is not as easy to use as 20! I'm still using 20...",
,"The phone looks beautiful, I haven't used it yet, I don't know if it's easy to use",,"When I received the mobile phone, there were 3 bubbles in the middle of the film for such an expensive new machine, and the edges did not fit. I communicated with the seller and said that I would go to the after-sales service 100 kilometers away to change the film for free. There is no way I can only apply for a refund and return. The seller asked me to pay the shipping fee first, and the seller will refund the shipping fee if there is a problem with the quality. Received the return and said the phone was ok. The reason I sent it back was that there was a problem with the film, and I didn't say that there was a problem with the quality of the phone, because I didn't test it and I didn't know if there was any problem with the quality of the phone. As a result, the seller said that the film problem is not a problem and will not refund the postage. Isn't such a hegemonic seller unreasonable?",
,"Garbage in garbage, what patriotism, support domestic production. Pure **, the new machine has abnormal charging and poor contact. I just bought it a few days ago and called to the factory for repair. Do you dare to buy it?",,"The junk data cable with the high-end machine can't be charged at all. All Huawei phones do not charge properly. I asked to change a data cable, and he told me that the gift was not available and could not be applied for. I bought it with extra money, it's not a gift. Do you Huawei have a conscience? How to do the **** thing? Be cautious if you want to buy this junk Huawei, as long as you pay, you will be your grandson. Rights protection is useless... Tmall also protects this garbage Huawei. Next, I plan to sue this gang with this substandard product**",
,"The goods have been received, baby looks good",,"Haven't started using it yet, don't know if it will work or not",
,"Battery life: good battery life, no need to charge at all for a day, 66W fast charge, fully charged in half an hour, no battery life anxiety",,"The mobile phone experience is perfect, enjoy the silky smoothness! Received the intimate Huawei-gift, and the pollen is here!",
,"Except the response is a little slow, everything else is okay, that is, the price is still very cost-effective.",,"The slow speed may be because I was used to using the iOS system before. It is just a matter of feeling to change to a new system, but the camera performance of this phone is very good, and the baby who likes to take pictures is worth starting.",
,"Huawei is doing better and better, and China's manufacturing technology is already so first-class, like it. I have used the Honor 30, although it is 5g, it occasionally freezes and heats up. Later, I changed to Apple 11, and the first time I used Apple, the signal was too poor, not to mention Huawei, even other domestic brands can't compare, and the battery life is very poor, the 2800mA battery is weak compared to the Huawei 4500 battery Now, 2 charges a day for bargain hunters, and you must bring a power bank with you when you go out, I feel like I have raised a die. . . I sold my iPhone 11 and used my mate20 for a period of time. It has been used for 2 and a half years, and it is still very smooth. After changing the battery, everything is just fine, but the 64g of memory is not enough, so I have to delete a lot of apps. Enough, mate20 can fight for at least another year. This time I went directly to the 256g, and I am satisfied with everything. The quality of the mate series is even better than that of Apple. Made in China, Created in China, Come on",,All good. The only thing is that the original film is a bit bad. It blistered after less than 10 days of use.,
,"The phone is very high, I like it",,"The user experience is very good. The first day the battery is used up and the system is set up, and the remaining days are good. The customer service is online 24 hours a day.",
,Photo effect: good Battery life: strong communication Sound quality: very clear Running speed: very fast Display effect: good,,"The mobile phone is quite good, the photos are clear and the charging is fast, the battery is very durable, and the appearance is high. The Kirin 9000 runs very smoothly, but I want to buy a mate40, but I can't buy it.",
,"Taking advantage of the May 1st event to buy a Huawei, the trusted brand is also an official flagship store product, so I saw the favorite model and placed an order directly. There is no indication on the product map that 6299 does not have a charger. Without a charger/cable, it¡¯s the same as taking out tableware without delivery. It¡¯s nothing to own, but it¡¯s very unfriendly to those who have just switched from Apple!",,"This is the cover I saw. I only know that the memory color is different. Who would have thought that the official standard does not have a charger, and the package has a charger? Isn't doing activity a scam? Is it different from the original price?",
,"The pride of Huawei people! The quality is super awesome! Feels good! Stylish design! I finally got one, I hope I can get an X2, I like it very much",,"It is not easy to buy, but buy and cherish!",
,"The last mobile phone was Apple Black 7. It took almost 6 years for the screen to crack and the battery to age three times a day. Others are good! It's good to see the matepro data and comments, but to be honest, I'm very disappointed after using it for half a month. I think there are marketing methods in it! The most terrible thing is that the screen resolution is not clear enough, especially when the full screen is full-screen, the corners and edges are a little blurry, and it may be related to the display color. But when I use it, the screen always feels blurry, like watching a smooth version of the video. There are still a lot of places to improve on the display, and the experience is really ordinary. The photo is not bad, the sharpness is very good, and the capture is also good.",,"The screen display is really a big problem, especially affecting the experience and everything else is fine. According to my observation, it is not my screen itself that is faulty, but the technology of our display screen needs to be strengthened.",
,"The phone is good, and still in the process of getting used to it. The logistics is super fast, only a dozen hours from placing the order to receiving the goods",,"easy to use. Others are good, but the headphone jack is different from the previous model, many of the past headphones ?? can not be used",
,"Express can not be specified annoying, others are fine",,"The phone works very well, I like it very much, praise!",
,Support domestic production! It's hard to get it! huawei mobile phone,,"It took a day to evaluate, it's really good, the quality is really good for this price. Everyone said that there are green on both sides, I can accept it myself, and it looks quite comfortable.",
,"The fingerprint is not very sensitive, the camera is really good, but it often swallows photos. After several times, the gallery does not save the photos after taking pictures. Others are perfect.",,"The performance is great, it does take a while to take pictures and then turn off the camera to save the picture. It has been used for a month, and now the charging phone will be a little hot, and it will not get hot when playing games for a few hours.",
,"Chinese people definitely support domestic products. The ringtones downloaded by mobile phones will always have no sound or change with the original sound of the mobile phone. I don¡¯t know why, what about the system?",,"Also, it is said that there is no reason to return it within seven days, which is a lie. I didn¡¯t see the official standard configuration without the charger. I saw that the official standard configuration has a charger in the evaluation. I thought it had the official standard configuration, but the goods When it arrives, it will not be available, nor can it be reissued. The charger is said to be off the shelf. I don¡¯t know when it will be sold, and I can¡¯t replace the package with the charger.",
,"I feel that it is not as easy to use as the P40 series, and the response is relatively slow.",,"It feels very stuck, not like a new phone",
,"Good logistics, SF Express delivered it the next day. The packaging is in good condition. After disassembling the machine, I used it for two days to evaluate it. The system including the screen unlocking is very responsive. There are green bars on both sides, but it does not affect my love for Populus euphratica in autumn.",,"It's been used for a few days, very smooth, fast charging, good signal, great experience",
,"The third 40P at home, two Populus euphratica, one white, seven active Huawei at home, trust Huawei",,"The third part of the family is 40P, smooth, autumn poplar, summer poplar and white. The child's game experience is also good. I didn't buy the 512, but the three are 256. For only reading news, making phone calls, watching videos, it is completely enough",
,"Very good, the mate20 and 30pro I used before are also very easy to use, I can't wait for the p50, so I bought the 40pro",,"Easy to use, fast charging, fast response, slightly wider than 30pro",
,It took a long time to grab it. It was recommended by a friend for his own use. The photo effect is very good.,,"It took a long time to grab the favorite mobile phone, support domestic production",
,"Don't want to say too much, bad! Students who want to switch from Apple to Huawei, please be careful! Sometimes domestic products need your support, but they don't support you!",,Huawei is also used to bullshit,
,"The light of Huawei's domestic products, come on, come on, never compromise, new products exploded Apple, trash apple, get out of China",,"Really good, smooth process",
,It¡¯s hard to get a Huawei mobile phone. Thank you for the event held by the Huawei flagship store. The mobile phone is well packaged and the delivery speed is fast. Support Huawei mobile phones.,,"The phone is super powerful, but unfortunately I can only grab one, it would be nice to have more in stock",
,"very good, like it",,love to support huawei,
,"In the past 8 years, Apple users bought Huawei because of their feelings. They were not used to it in the first two days. Now they have used it for about ten days. The appearance of the mobile phone is exquisite, the high-end atmosphere is properly high-end, and the new phone runs fast. It is true that the sides of Zhou Dongyu's screen are a little green, but I don't think there is much problem. I like the camera ring layout, it is more beautiful than Apple's , it is better than Apple in terms of good signal and battery durability, 66W fast charging is fast, and there are many advantages. The only thing I'm not satisfied with is taking pictures, which should be Huawei's advantage. The pictures of myself are white and beautiful, but I always feel that they are not as real as Apple's (I admit that Apple's original camera makes me very accepting of the real me). In addition, focusing is very laborious. Because of work reasons, I often have to take paper materials. Apple will not be blurred when I take pictures. Huawei always has a hard time taking pictures clearly. The paper photographed by the mobile phone is more dirty and the handwriting is more blurred. It made me have to keep using my old phone to take material photos.",,"The previous comparison picture was taken at the same time and under the same lighting conditions. Picture 1 is the original Apple camera that is really casual. Picture 2 is Huawei's careful focus shot, the best shot selected, and the reflection effect is eliminated, but it doesn't seem to make much difference. The key is the use of work, there is not so much time wasted on carefully processing each photo, if it is caused because I don't know how to use it, I welcome the great god to teach me",
,"The camera function is not as good as the P series. I don¡¯t know why Master AI always recognizes the food as a macro when taking pictures, and can¡¯t recognize the food, which is a headache. In the past, the p20pro could be set to click anywhere on the screen to focus and take pictures, but now it doesn't work anymore, depressed",,"Picture 1 is the AI recognition situation of my colleague's p20 or 30 series, picture 2 is the AI recognition situation of my mate40pro, the same shooting distance and object, mate40pro will only recognize macro, or contact me to reset after customer service On the premise of the shooting function, and afraid of affecting the camera's ranging, I didn't even dare to put on the phone case. In Figure 3, my friend's p40pro on the left side recognizes the food and my mobile phone on the right side is macro again. As a new phone that has been in hand for less than a month, I can only think that there is a problem with the camera function of this phone. There is also the touch screen camera function. The customer service said that it was deleted for optimization, but it is precisely that function that is the most useful function when taking selfies. It is said that it is optimized but deleted. This is simply speechless. Originally, if the previous phone hadn't been completely broken, I couldn't wait for the P50 to come out. I really wouldn't have tried the mate. It seems that the experience is really average. There are green borders on both sides of the screen. The only bright spot is that this phone is fast charging.",
,"Photo effect: average, can not be considered top, top m40p+ can not buy battery life: battery life is very average, can only be used for about 0.7 days, much worse than the previous m30 It can be slowed down after a while. Generally, QQ needs to be refreshed two or three times to refresh the running speed: sometimes it will be stuck, and learning to play video at the Youth University is stuck, but it is stuck all the time. The display effect: the screen turns green, and the eyes are tired after looking at it for a long time.",,"Not recommended, not recommended, the phone is okay, but go to the Huawei store to buy it!",
,"The phone is good, but it always automatically turns on the screen and turns off all related functions. If you look at it from a distance, the screen will turn on. I don¡¯t know if it¡¯s an individual problem or a general problem.",,"The customer service is really excellent. Just after the evaluation, I called and solved the problem. Baidu has not been able to solve it many times. Huawei's after-sales service is really good.",
,Appearance of high-end atmosphere on the grade! Super fast and comfortable,,It took a while to respond super fast! Cooler than my 30,
,"Received the mobile phone, the delivery is very fast, I placed the order at 8 o'clock yesterday and received it today, I just got it, I don't know how it is, I will follow up after a while",,"It has been used for a while, and it has a green edge, but it has little effect on me, it is very smooth, and the battery is very durable. So far, I think the only disadvantage is that the fingerprint unlocking is too spicy, and it is really insensitive.",
,"The phone is ok, but when I sent it over, I found that there are scratches on the metal plate of the lens, so I'm sure it's a new phone",,"Well, I took a look around. It seems that the metal discs with plain leather are like this. To be honest, it's a bit ugly. I'm going to buy a lens sticker to stick it on.",
,Huawei's disgusting customer service is like this after sales? Your service is like this,,"Huawei began to bully consumers, forced returns, and customer service ignored them. The so-called senior managers are fake, and the quality of the senior managers can¡¯t keep up! Rubbish Huawei, ** not",
,"Received the phone today, very happy. After a few days of chagrin with no results in regular robbing, I turned on my mobile phone after the early morning of 6.1 and saw that it was in stock. buy the green",,"The Hongmeng system has been upgraded, super cool! Support Huawei!",
,"I took a BOE screen, but the rest is fine",,"After upgrading Hongmeng, it saves more power. However, taking pictures is not a big improvement compared to my previous mate30. Maybe my technology is not good... The price/performance ratio is still a bit worse...",
,"It was only grabbed at 6180 points, and the delivery speed was fast! The express packaging is well protected!",,"The use is very smooth, unfortunately, the first batch of Hongmeng system update list does not have mate40pro.",
,"I like the color of Populus euphratica in autumn. I have never bought this color in the offline Huawei authorized store. I have been grabbing it online for a long time, and I have not been able to grab it. single. The delivery was very fast. The SF Express at 5 in the morning on June 1 had already picked up the parcel, and the courier called me at 5 o'clock in the afternoon to tell me that the mobile phone had arrived, and the speed was really fast. Today is the 3rd, it has been upgraded to Hongmeng system",,"This phone has a good appearance, and I like the rear-camera ring design. When watching full-screen videos and pictures on the curved screen, I feel that the screen is stretched. The screen is very clear, and a little green border is acceptable, and I feel that it has no effect. Wired charging is fast, and it feels full quickly. It can also be wirelessly charged in reverse, which can be used as a power bank for emergency use. The signal is stable and the photos are clear. After upgrading the Hongmeng system, the usage habits have not changed much from Android, and it feels more concise and convenient. When opening multiple applications at the same time, it feels smoother than Android, without feeling stuck, and without frequent manual cleaning of applications. The above is the good feeling I used. The bad thing is that the color of Populus euphratica in autumn is too difficult to photograph. It took a long time to grab it online. I have also asked many times at the offline authorized experience store. Other colors are available in stock. There is no stock of Populus euphratica in autumn, and now I finally bought it.",
,"After placing the order, I did not expect it to be shipped the next day. The logistics speed is very fast. The machine is turned on as soon as it arrives, and the running speed is very smooth. The flagship machine is different! very satisfied!",,"The machine runs very smoothly, the quality of the flagship machine is not the same, it is too difficult to grab.",
,"Very easy to use, fast delivery, I like it very much",,"It is very easy to use, and the mobile phone does not heat up when playing games, and it is very comfortable to use",
,High value and fast shooting effect. The fast delivery Hongmeng system is worth looking forward to. It's too pitiful to sell 128g and 256g separately. The obvious space of my 128g will not be enough.,,It turns out that you can also install an NM card ????,
,"The pre-sale order will be shipped on the fourth day, and the next day will be delivered by SF Express, the official authentic product. Excellent appearance, support Huawei support Hongmeng! He upgraded the phone to Hongmeng 2.0 as soon as he got it, and the official 66w charger was tested to be fully charged in 50 minutes after 1-100% off the screen. Fortunately, the screen is not from BOE, and the three-piece set that is very convenient for the door is arranged with a drop-proof case. Support Huawei! I believe that Hongmeng will become the most widely used system in the world in the near future!",,"I checked it carefully, it's Zhou Dongyu's screen",
,"The official standard does not come with a charger, which is really careless. 199 bought another charger, a master of routines",,"After using it for more than a month, the upper right corner is peeling, it should be the film that sticks up, and the luck is too bad. Charging is quick, but it gets too hot.",
,"Love, finally got one haha",,Excellent,
,"In order to support Huawei bought from domestic products, it doesn't matter if the edge of the screen is green, but my mobile phone will get hot after using it for a while, just like WeChat. The customer service said it was normal, but I personally can't accept it very much. More exaggerated than any Apple I've ever used. Really disappointed. Now as long as I use it for a long time, I feel that the temperature of the phone is very high when I get it in my hand. ah??",,"After feedback on this problem, I immediately received a return visit from Huawei's official after-sales service hotline, helped me test the mobile phone and taught some small methods, and it is better to use now. Still support it. Domestic products come on! White is so pretty!",
,Huawei Bull*. Hongmeng OS is very good,,"There is a quality problem on the screen of the mobile phone. Press and hold the mobile key, the map will pop up randomly, and there are video screenshots. During the moving process, it seems that someone is controlling the map.",
,Taking pictures is not as good as my P20. Everything else is fine. I got the Mate 40 pro 8+256 for 6999 yuan. What price did you all buy it?,,The mobile phone I bought in the flagship store should not be fake. The photos are too blurry. Did the manufacturer forget to install optical image stabilization? So disappointed! The P20 I bought three years ago is better than this.,
,"I have been using the mate series, and it feels okay at the moment, but the green edge is acceptable.",,"The design of the card insertion place is not very good. It used to be very suitable for the card, but this time I finally put the card in, and the dual cards seem to be placed on both sides, which is not very convenient.",
,"Bought it for a colleague, very good, support Huawei",,"At present, the mobile phone responds very well, there are no other problems, and the photos are good",
,Shipping is super fast. Finally got it. love this color,,"Phone fashion. Hongmeng system is good, supports Huawei",
,"Birthday present for girlfriend, she loves it",,The blue orangutan family bucket is arranged,
,"Very good, well packaged, I like it very much",,very useful,
,fast shipping,,"???? Looks good, I like it very much.",
,I believe that Huawei will do better with the blessing of Hongmeng system! It's a pity that I didn't buy the charger version,,"Today's domestic mobile phones have turned upside down, and Huawei is very handy! Thanks Huawei",
,"Everything else is good, but the battery life is not as good as I imagined. Just swiping Weibo and WeChat to take pictures occasionally, I obviously feel that the power has been dropping, almost the same level as my old phone, the Honor 10, which is a bit disappointing!",,"After 2 days of debugging, upgrading Hongmeng, the battery life has improved, but it is not very strong. At present, I only occasionally make calls, swipe Weibo and WeChat to browse the web, and the back cover feels a lot hot, and the 100% battery is barely usable. One day, if you chase dramas and play games, etc., it is estimated that the battery will run out in a short time. In addition, Huawei's after-sales service is not bad. After seeing the evaluation, I made a call to contact and guide the debugging of the mobile phone. By the way, I would like to praise it. I hope to make persistent efforts to timely reflect the situation that the mobile phone is prone to heat and the battery life is not strong, and look forward to further performance after the subsequent update of the system",
,"Photo effect: Huawei mobile phone photo is really easy to use, especially the night scene Battery life: playing games is also good, the battery life is screaming, the key is fast charging, much better than Apple. It may be that my ears are not so sensitive and the running speed is not professional enough: the new mobile phone runs fine, the Hongmeng system is directly connected, and the smoothness is no problem",,really useful,
,"The mobile phone is quite difficult to grab, the logistics will arrive the next day soon, support Huawei",,"Great stuff, but hard to get",
,"After robbing it for a long time, I finally got it and support Huawei.",,"It is worthy of Huawei, silky and smooth, support Huawei",
,"Good logistics, received the next day, finally bought Huawei mate",,like it more and more,
,"Perfect, it's over, supporting domestic production, plus Hongmeng, it's really good, the logistics is super fast and arrives in one day.",,"Be quick, Hongmeng Bull*",
,I love the mate40 pro that I finally bought,,"Love it so much, the feel and use of the 40pro is unmatched",
,"I didn't take any photos. I placed the order yesterday afternoon and it arrived very quickly in the morning. I can't stand that Apple 11 phone 1. Playing games is not hot, it's hot 2. Drawings are not fully displayed 3. Charging is also hot, and video is also hot 4. Playing peace notification bar will go down 5. Signal is also weak 6. Playable Low performance means that the system is smooth, but sometimes incompatible software will cause no response.",,"After using it for a few days, I stopped taking pictures. 1. The first feeling is that the hand feels very good, the screen is large, and the appearance is good-looking. I should not choose this color, I can't see anything, and the edge green is a common problem, but it does not affect it. 2. High playability, there are quite a lot of user-friendly functions, the game can be in window mode, and the left menu can be in window mode. There are quite a lot of camera functions. I didn't play much, just took a photo, which is clear. 3. The overall feeling of the system is good, the Hongmeng system, the detail optimization is almost, there are no advertisements, the software compatibility is very good, there is no problem, the world of Hongmeng is here. 4. The performance of the machine is ok, eating chicken can be 90, very silky. Face fingerprints or something, solved in seconds. 5. The playback sound quality is very good, and the enhancement is turned on. After all, there are dual speakers. 6. The battery life does not feel much, compared with the previous mobile phone. Summary: Nice is done",
,"The mobile phone is quite difficult to grab, the logistics will arrive the next day soon, support Huawei",,"Great stuff, but hard to get",
,"Photo effect: Huawei is a cow, running speed: high fluency, good battery",,"Huawei has been using it all the time. The previous 64G memory is now replaced by 128. You can download the software at will, smooth and fast.",
,Very good and very satisfied to support the light of Huawei's domestic products! Believe that you can always see a rainbow after the storm!,,Huawei Huawei! China is promising! come on ??,
,"The packaging is intact, Huawei is guaranteed, nice, I wish the domestic brand better and better",,It took two days and it worked fine. no problem,
,"It's really smooth, especially after updating the system, it's pretty good, but I didn't get 256g, it's a little annoying",,"Zhou Dongyuping, speechless",
,Communication sound quality: very good quality,,"It's a genuine product, just like the physical store, the price is still favorable, and I will definitely turn to fans",
,"Very good, I have been using the iPhone all the time. The Hongmeng system is released here, thinking that I will use it and see, and the TV at home will be replaced by a Huawei TV, which will be more convenient to call.",,"The overall use is okay. It is basically a benchmark flagship, but the system is still a bit unaccustomed to.",
,This Huawei phone is so beautiful and unbeatable,,"Yes, Huawei is up",
,"I finally got my phone, very happy. suitable for use",,"Excellent value for money, not much to say, these four words have said everything",
,"good luck, huawei",,"Very good, I hope Hongmeng becomes more and more mature",
,"The mobile phone responds quickly, beautifully, and feels comfortable in the hand. It is very atmospheric and high-grade in the hand. I recommend everyone to use it. Support domestic",,"After a week of use, it is still very smooth, the domestic V5",
,"Ouch. Sure enough, I'm not very lucky, green I panic",,"I didn't expect that buying a mobile phone was a nuisance, and the video was blurry and grainy. I have a comparison, anyway, weigh and buy it. Speechless.",
,"My family said that I want to use a Huawei mobile phone, and I bought this one. It is very smooth and has many functions.",,"Huawei mobile phone is different, especially easy to use",
,"The shopkeeper's attitude is very professional and enthusiastic, answering any questions and responding quickly. I asked a lot of questions, but he didn't find it annoying and answered me seriously. For this, I would like to express my sincere respect to the shopkeeper. There are not many good shopkeepers like this. . Besides the baby, it was exactly what I needed. When I received it, the package was complete. After opening it, I was pleasantly surprised that the baby was even better than I expected! Had to give thumbs up.",,"Baby received, the seller shipped quickly, the logistics is also very strong, the customer service attitude is excellent, very patient, giving people a kind of intimacy, I like it very much. There are also exquisite packaging and high-end atmosphere; it can be seen that the merchants are very attentive. The baby is really good, it matches the picture, there is no difference, it is really good value for money, good quality and low price. The quality is very good, I will take care of it again next time! The express delivery is very powerful, praise! Fast delivery, cost-effective, full marks!",
,"The mobile phone logistics is ok, the mobile phone is very good, my sister used it for a while and asked me to help him grab one too, he also wanted to buy one",,Domestic mobile phones are doing really well now,
,"The speed is really fast, the order placed at 0:00, the courier brother called me at 8:30. The Pro+ that I am thinking of can't be grabbed, I can only grab the Pro, and I grabbed the summer Populus euphratica 256G at one time, happy",,"I'm a BOE screen, wait for the next Huawei to unblock the screen and replace it with the next one",
,Photo effect: clear Battery life: long-lasting communication Sound quality: transparent Running speed: fast Display effect: bright,,"Huawei did not let me down, and the service of the merchant is also very considerate. From ordering to delivery to use, the whole process is comfortable and perfect",
,"The quality of this is really surprising, the real thing is beautiful, the touch is very good, I highly recommend it~ I am very satisfied every time, the baby I chose this time is even more satisfied, and I will buy it as always in the future. Overall, it is really good, customer service The service attitude is also very good, the message will be answered almost immediately after speaking, the value for money, I really recommend",,"It is genuine and very easy to use, the price is much cheaper, the price is very high, it is really cost-effective, the packaging is also very high-end and elegant, it is worth buying, but there is no charger, this is a bit pitted",
,"This time there is no problem with the film. The whole family uses Huawei. This is my second Huawei. The quality of the mobile phone can't be said. Just received this one and haven't tried it yet. This time, the epidemic may have come to us on the fourth day of the downwind, and it used to arrive on the second day.",,"The mobile phone is very beautiful, but unfortunately because the mobile phone is a little big, I am not used to it and I returned it. The customer service attitude is very good, and the refund speed is super fast",
,"support huawei, no",,"have been carefully selecting for a long time?, and finally decided to buy this one??, it did not disappoint me when it arrived, the real thing is very beautiful??, the workmanship is very fine??, I am very satisfied??",
,"Very good, I like it, I am using it now",,"Very good buying platform, good quality, especially branded, trustworthy",
,"Genuine, strong signal, fast charging, battery life is OK, moderate use can last about 16 hours. However, in intelligent humanization, you should learn vivo, for example, the yellow calendar comes with a perpetual calendar and backlight photography, etc.",,"The sound quality is average, the speaker is too low, not as good as a single-speaker phone",
,"A machine that I like very much, but it is hard to buy. This time I finally got my wish, and I am very happy.",,"After using it for a while, I can only say that it is really powerful, I love it.",
,"The packaging of the product is exquisite and beautiful. It is very good at present. I really appreciate it. I hope it can help Jimei people to use it very well. I am very satisfied with the product. It is an unlimited repurchase. Baby received it ????, it's really great! ?? The quality is really nothing to say, very satisfied! ??Happy and happy??Baby received it????, it's really great! ?? The quality is really nothing to say, very satisfied! ??Happy happy??",,"Exactly the same as the one I bought in the store! It's still as easy to use, and I'm happy that it's exactly the same as the one I bought in the physical store! It's still as easy to use, and I'm happy that it's exactly the same as the one I bought in the physical store! Still the same, happy",
